config,distance,runtime,mean,median,reschedule,vectorize,parallel,tile
rs_off_vec_off_par_off_tile_16,0,2.34962,1.6410292,1.479512,off,off,off,16
rs_off_vec_off_par_off_tile_16,0,1.6905,1.6410292,1.479512,off,off,off,16
rs_off_vec_off_par_off_tile_16,0,1.479512,1.6410292,1.479512,off,off,off,16
rs_off_vec_off_par_off_tile_16,0,1.256316,1.6410292,1.479512,off,off,off,16
rs_off_vec_off_par_off_tile_16,0,1.429198,1.6410292,1.479512,off,off,off,16
rs_off_vec_off_par_off_tile_32,1,1.431586,1.3455626,1.376513,off,off,off,32
rs_off_vec_off_par_off_tile_32,1,1.172842,1.3455626,1.376513,off,off,off,32
rs_off_vec_off_par_off_tile_32,1,1.320913,1.3455626,1.376513,off,off,off,32
rs_off_vec_off_par_off_tile_32,1,1.425959,1.3455626,1.376513,off,off,off,32
rs_off_vec_off_par_off_tile_32,1,1.376513,1.3455626,1.376513,off,off,off,32
rs_off_vec_off_par_off_tile_64,1,1.133386,1.2680922,1.191765,off,off,off,64
rs_off_vec_off_par_off_tile_64,1,1.480057,1.2680922,1.191765,off,off,off,64
rs_off_vec_off_par_off_tile_64,1,1.191765,1.2680922,1.191765,off,off,off,64
rs_off_vec_off_par_off_tile_64,1,1.351653,1.2680922,1.191765,off,off,off,64
rs_off_vec_off_par_off_tile_64,1,1.1836,1.2680922,1.191765,off,off,off,64
rs_off_vec_off_par_on_tile_16,1,2.572714,2.9845108,3.030878,off,off,on,16
rs_off_vec_off_par_on_tile_16,1,2.756529,2.9845108,3.030878,off,off,on,16
rs_off_vec_off_par_on_tile_16,1,3.030878,2.9845108,3.030878,off,off,on,16
rs_off_vec_off_par_on_tile_16,1,3.12577,2.9845108,3.030878,off,off,on,16
rs_off_vec_off_par_on_tile_16,1,3.436663,2.9845108,3.030878,off,off,on,16
rs_off_vec_off_par_on_tile_32,2,2.368478,2.936789,2.974571,off,off,on,32
rs_off_vec_off_par_on_tile_32,2,2.974571,2.936789,2.974571,off,off,on,32
rs_off_vec_off_par_on_tile_32,2,3.099475,2.936789,2.974571,off,off,on,32
rs_off_vec_off_par_on_tile_32,2,2.731927,2.936789,2.974571,off,off,on,32
rs_off_vec_off_par_on_tile_32,2,3.509494,2.936789,2.974571,off,off,on,32
rs_off_vec_off_par_on_tile_64,2,3.99509,3.564895,3.715714,off,off,on,64
rs_off_vec_off_par_on_tile_64,2,3.065072,3.564895,3.715714,off,off,on,64
rs_off_vec_off_par_on_tile_64,2,3.715714,3.564895,3.715714,off,off,on,64
rs_off_vec_off_par_on_tile_64,2,3.150982,3.564895,3.715714,off,off,on,64
rs_off_vec_off_par_on_tile_64,2,3.897617,3.564895,3.715714,off,off,on,64
rs_off_vec_on_par_off_tile_16,1,0.685615,0.6696686000000001,0.667643,off,on,off,16
rs_off_vec_on_par_off_tile_16,1,0.667643,0.6696686000000001,0.667643,off,on,off,16
rs_off_vec_on_par_off_tile_16,1,0.680157,0.6696686000000001,0.667643,off,on,off,16
rs_off_vec_on_par_off_tile_16,1,0.654889,0.6696686000000001,0.667643,off,on,off,16
rs_off_vec_on_par_off_tile_16,1,0.660039,0.6696686000000001,0.667643,off,on,off,16
rs_off_vec_on_par_off_tile_32,2,0.670298,0.6613622,0.663102,off,on,off,32
rs_off_vec_on_par_off_tile_32,2,0.663102,0.6613622,0.663102,off,on,off,32
rs_off_vec_on_par_off_tile_32,2,0.665981,0.6613622,0.663102,off,on,off,32
rs_off_vec_on_par_off_tile_32,2,0.652979,0.6613622,0.663102,off,on,off,32
rs_off_vec_on_par_off_tile_32,2,0.654451,0.6613622,0.663102,off,on,off,32
rs_off_vec_on_par_off_tile_64,2,0.647828,0.6658418,0.66852,off,on,off,64
rs_off_vec_on_par_off_tile_64,2,0.677732,0.6658418,0.66852,off,on,off,64
rs_off_vec_on_par_off_tile_64,2,0.668842,0.6658418,0.66852,off,on,off,64
rs_off_vec_on_par_off_tile_64,2,0.666287,0.6658418,0.66852,off,on,off,64
rs_off_vec_on_par_off_tile_64,2,0.66852,0.6658418,0.66852,off,on,off,64
rs_off_vec_on_par_on_tile_16,2,1.085884,1.0652534,1.06339,off,on,on,16
rs_off_vec_on_par_on_tile_16,2,0.942682,1.0652534,1.06339,off,on,on,16
rs_off_vec_on_par_on_tile_16,2,1.275169,1.0652534,1.06339,off,on,on,16
rs_off_vec_on_par_on_tile_16,2,0.959142,1.0652534,1.06339,off,on,on,16
rs_off_vec_on_par_on_tile_16,2,1.06339,1.0652534,1.06339,off,on,on,16
rs_off_vec_on_par_on_tile_32,3,1.235875,1.0269304,1.002996,off,on,on,32
rs_off_vec_on_par_on_tile_32,3,1.017445,1.0269304,1.002996,off,on,on,32
rs_off_vec_on_par_on_tile_32,3,0.941411,1.0269304,1.002996,off,on,on,32
rs_off_vec_on_par_on_tile_32,3,0.936925,1.0269304,1.002996,off,on,on,32
rs_off_vec_on_par_on_tile_32,3,1.002996,1.0269304,1.002996,off,on,on,32
rs_off_vec_on_par_on_tile_64,3,1.288546,1.1045374,1.131286,off,on,on,64
rs_off_vec_on_par_on_tile_64,3,0.972798,1.1045374,1.131286,off,on,on,64
rs_off_vec_on_par_on_tile_64,3,1.131286,1.1045374,1.131286,off,on,on,64
rs_off_vec_on_par_on_tile_64,3,1.148961,1.1045374,1.131286,off,on,on,64
rs_off_vec_on_par_on_tile_64,3,0.981096,1.1045374,1.131286,off,on,on,64
rs_on_vec_off_par_off_tile_16,1,1.31674,1.2720646,1.276849,on,off,off,16
rs_on_vec_off_par_off_tile_16,1,1.276849,1.2720646,1.276849,on,off,off,16
rs_on_vec_off_par_off_tile_16,1,1.313243,1.2720646,1.276849,on,off,off,16
rs_on_vec_off_par_off_tile_16,1,1.272513,1.2720646,1.276849,on,off,off,16
rs_on_vec_off_par_off_tile_16,1,1.180978,1.2720646,1.276849,on,off,off,16
rs_on_vec_off_par_off_tile_32,2,1.132136,1.222551,1.191957,on,off,off,32
rs_on_vec_off_par_off_tile_32,2,1.17343,1.222551,1.191957,on,off,off,32
rs_on_vec_off_par_off_tile_32,2,1.191957,1.222551,1.191957,on,off,off,32
rs_on_vec_off_par_off_tile_32,2,1.368757,1.222551,1.191957,on,off,off,32
rs_on_vec_off_par_off_tile_32,2,1.246475,1.222551,1.191957,on,off,off,32
rs_on_vec_off_par_off_tile_64,2,1.496293,1.2426838,1.178044,on,off,off,64
rs_on_vec_off_par_off_tile_64,2,1.273787,1.2426838,1.178044,on,off,off,64
rs_on_vec_off_par_off_tile_64,2,1.125394,1.2426838,1.178044,on,off,off,64
rs_on_vec_off_par_off_tile_64,2,1.178044,1.2426838,1.178044,on,off,off,64
rs_on_vec_off_par_off_tile_64,2,1.139901,1.2426838,1.178044,on,off,off,64
rs_on_vec_off_par_on_tile_16,2,2.418475,2.3536422,2.388393,on,off,on,16
rs_on_vec_off_par_on_tile_16,2,2.237013,2.3536422,2.388393,on,off,on,16
rs_on_vec_off_par_on_tile_16,2,2.424229,2.3536422,2.388393,on,off,on,16
rs_on_vec_off_par_on_tile_16,2,2.300101,2.3536422,2.388393,on,off,on,16
rs_on_vec_off_par_on_tile_16,2,2.388393,2.3536422,2.388393,on,off,on,16
rs_on_vec_off_par_on_tile_32,3,2.432841,2.5541793999999998,2.578405,on,off,on,32
rs_on_vec_off_par_on_tile_32,3,2.549152,2.5541793999999998,2.578405,on,off,on,32
rs_on_vec_off_par_on_tile_32,3,2.615377,2.5541793999999998,2.578405,on,off,on,32
rs_on_vec_off_par_on_tile_32,3,2.595122,2.5541793999999998,2.578405,on,off,on,32
rs_on_vec_off_par_on_tile_32,3,2.578405,2.5541793999999998,2.578405,on,off,on,32
rs_on_vec_off_par_on_tile_64,3,2.521098,2.7334466,2.556153,on,off,on,64
rs_on_vec_off_par_on_tile_64,3,2.499636,2.7334466,2.556153,on,off,on,64
rs_on_vec_off_par_on_tile_64,3,2.556153,2.7334466,2.556153,on,off,on,64
rs_on_vec_off_par_on_tile_64,3,2.625361,2.7334466,2.556153,on,off,on,64
rs_on_vec_off_par_on_tile_64,3,3.464985,2.7334466,2.556153,on,off,on,64
rs_on_vec_on_par_off_tile_16,2,0.653261,0.646312,0.643377,on,on,off,16
rs_on_vec_on_par_off_tile_16,2,0.651183,0.646312,0.643377,on,on,off,16
rs_on_vec_on_par_off_tile_16,2,0.643377,0.646312,0.643377,on,on,off,16
rs_on_vec_on_par_off_tile_16,2,0.643124,0.646312,0.643377,on,on,off,16
rs_on_vec_on_par_off_tile_16,2,0.640615,0.646312,0.643377,on,on,off,16
rs_on_vec_on_par_off_tile_32,3,0.653634,0.6458714,0.644322,on,on,off,32
rs_on_vec_on_par_off_tile_32,3,0.642733,0.6458714,0.644322,on,on,off,32
rs_on_vec_on_par_off_tile_32,3,0.647725,0.6458714,0.644322,on,on,off,32
rs_on_vec_on_par_off_tile_32,3,0.644322,0.6458714,0.644322,on,on,off,32
rs_on_vec_on_par_off_tile_32,3,0.640943,0.6458714,0.644322,on,on,off,32
rs_on_vec_on_par_off_tile_64,3,0.651038,0.6401168,0.637906,on,on,off,64
rs_on_vec_on_par_off_tile_64,3,0.648154,0.6401168,0.637906,on,on,off,64
rs_on_vec_on_par_off_tile_64,3,0.632944,0.6401168,0.637906,on,on,off,64
rs_on_vec_on_par_off_tile_64,3,0.637906,0.6401168,0.637906,on,on,off,64
rs_on_vec_on_par_off_tile_64,3,0.630542,0.6401168,0.637906,on,on,off,64
rs_on_vec_on_par_on_tile_16,3,1.291548,1.1634702,1.162456,on,on,on,16
rs_on_vec_on_par_on_tile_16,3,1.162456,1.1634702,1.162456,on,on,on,16
rs_on_vec_on_par_on_tile_16,3,1.316899,1.1634702,1.162456,on,on,on,16
rs_on_vec_on_par_on_tile_16,3,1.086779,1.1634702,1.162456,on,on,on,16
rs_on_vec_on_par_on_tile_16,3,0.959669,1.1634702,1.162456,on,on,on,16
rs_on_vec_on_par_on_tile_32,4,0.896127,1.096714,0.976764,on,on,on,32
rs_on_vec_on_par_on_tile_32,4,0.932386,1.096714,0.976764,on,on,on,32
rs_on_vec_on_par_on_tile_32,4,1.290601,1.096714,0.976764,on,on,on,32
rs_on_vec_on_par_on_tile_32,4,0.976764,1.096714,0.976764,on,on,on,32
rs_on_vec_on_par_on_tile_32,4,1.387692,1.096714,0.976764,on,on,on,32
rs_on_vec_on_par_on_tile_64,4,1.336065,1.2257586,1.267724,on,on,on,64
rs_on_vec_on_par_on_tile_64,4,0.928239,1.2257586,1.267724,on,on,on,64
rs_on_vec_on_par_on_tile_64,4,1.209922,1.2257586,1.267724,on,on,on,64
rs_on_vec_on_par_on_tile_64,4,1.267724,1.2257586,1.267724,on,on,on,64
rs_on_vec_on_par_on_tile_64,4,1.386843,1.2257586,1.267724,on,on,on,64
